timestamp,open,high,low,close,volume
2025-05-16 16:57:00+00:00,2.6658,2.6725,2.6653,2.6674,17031.6
2025-05-16 16:58:00+00:00,2.6675,2.6718,2.6668,2.6706,8673.1
2025-05-16 16:59:00+00:00,2.6704,2.6788,2.6702,2.6733,18280.6
2025-05-16 17:00:00+00:00,2.6728,2.6777,2.662,2.6623,21049.2
2025-05-16 17:01:00+00:00,2.6621,2.6644,2.6523,2.6524,12502.1
2025-05-16 17:02:00+00:00,2.6523,2.6561,2.6487,2.6545,14332.4
2025-05-16 17:03:00+00:00,2.6549,2.6631,2.6483,2.6508,20125.2
2025-05-16 17:04:00+00:00,2.6506,2.6529,2.6468,2.6483,16276.8
2025-05-16 17:05:00+00:00,2.648,2.6517,2.6457,2.6488,22344.9
2025-05-16 17:06:00+00:00,2.6487,2.6498,2.6414,2.6422,23537.1
2025-05-16 17:07:00+00:00,2.6422,2.65,2.6418,2.6472,34559.0
2025-05-16 17:08:00+00:00,2.6476,2.6498,2.6447,2.6491,8467.4
2025-05-16 17:09:00+00:00,2.6492,2.6499,2.6447,2.6452,12810.2
2025-05-16 17:10:00+00:00,2.6453,2.6491,2.6435,2.6491,14023.4
2025-05-16 17:11:00+00:00,2.6491,2.6509,2.6454,2.6509,6911.8
2025-05-16 17:12:00+00:00,2.6501,2.6566,2.6482,2.6538,6437.3
2025-05-16 17:13:00+00:00,2.6532,2.6532,2.6366,2.6409,37582.2
2025-05-16 17:14:00+00:00,2.641,2.6445,2.6384,2.6393,16098.5
2025-05-16 17:15:00+00:00,2.639,2.6459,2.6383,2.6438,10885.2
2025-05-16 17:16:00+00:00,2.6438,2.6658,2.6405,2.6568,163309.2
2025-05-16 17:17:00+00:00,2.6568,2.6645,2.6529,2.6535,11961.9
2025-05-16 17:18:00+00:00,2.6528,2.655,2.6444,2.6513,16289.7
2025-05-16 17:19:00+00:00,2.6497,2.6536,2.6451,2.6517,6786.2
2025-05-16 17:20:00+00:00,2.6516,2.6571,2.6453,2.6502,32516.3
2025-05-16 17:21:00+00:00,2.6499,2.652,2.6448,2.652,30006.2
2025-05-16 17:22:00+00:00,2.652,2.6564,2.6485,2.6515,10940.7
2025-05-16 17:23:00+00:00,2.6515,2.6539,2.6473,2.6493,10736.2
2025-05-16 17:24:00+00:00,2.6493,2.6535,2.6478,2.6507,5850.3
2025-05-16 17:25:00+00:00,2.6507,2.6603,2.6501,2.6603,15171.6
2025-05-16 17:26:00+00:00,2.6597,2.6597,2.6558,2.6576,8008.2
2025-05-16 17:27:00+00:00,2.6577,2.6585,2.6516,2.6518,11531.7
2025-05-16 17:28:00+00:00,2.6518,2.6574,2.6495,2.651,21037.9
2025-05-16 17:29:00+00:00,2.6509,2.6531,2.6494,2.6531,8899.7
2025-05-16 17:30:00+00:00,2.6526,2.6555,2.649,2.6509,9434.1
2025-05-16 17:31:00+00:00,2.6507,2.6514,2.6472,2.6473,9476.2
2025-05-16 17:32:00+00:00,2.6471,2.6475,2.639,2.6405,58086.6
2025-05-16 17:33:00+00:00,2.6404,2.6404,2.628,2.6328,38142.9
2025-05-16 17:34:00+00:00,2.6332,2.6357,2.6188,2.6251,62195.9
2025-05-16 17:35:00+00:00,2.6243,2.6312,2.6213,2.6309,26971.4
2025-05-16 17:36:00+00:00,2.6307,2.6338,2.6256,2.6268,25530.4
2025-05-16 17:37:00+00:00,2.6264,2.6306,2.6179,2.6208,30051.0
2025-05-16 17:38:00+00:00,2.6206,2.6253,2.6194,2.6222,33140.2
2025-05-16 17:39:00+00:00,2.6237,2.6251,2.62,2.6234,12668.2
2025-05-16 17:40:00+00:00,2.6235,2.624,2.62,2.6227,15519.3
2025-05-16 17:41:00+00:00,2.6231,2.6308,2.6228,2.6263,6065.1
2025-05-16 17:42:00+00:00,2.6258,2.6354,2.6246,2.6308,12792.4
2025-05-16 17:43:00+00:00,2.6304,2.6332,2.6279,2.6296,5796.7
2025-05-16 17:44:00+00:00,2.6296,2.6364,2.6294,2.6324,8100.2
2025-05-16 17:45:00+00:00,2.6321,2.6381,2.6321,2.6359,9302.9
2025-05-16 17:46:00+00:00,2.6359,2.6362,2.6286,2.6292,5196.5
2025-05-16 17:47:00+00:00,2.6287,2.629,2.6203,2.6217,14658.7
2025-05-16 17:48:00+00:00,2.6223,2.6242,2.6187,2.6188,17819.3
2025-05-16 17:49:00+00:00,2.6189,2.626,2.6185,2.6226,20338.3
2025-05-16 17:50:00+00:00,2.6219,2.6254,2.6102,2.6133,38834.7
2025-05-16 17:51:00+00:00,2.6133,2.6175,2.6112,2.6151,15900.9
2025-05-16 17:52:00+00:00,2.6156,2.6191,2.6136,2.6137,38922.2
2025-05-16 17:53:00+00:00,2.6137,2.6139,2.6063,2.6094,34291.1
2025-05-16 17:54:00+00:00,2.6083,2.6194,2.605,2.6139,31751.8
2025-05-16 17:55:00+00:00,2.6137,2.6202,2.6112,2.6182,9101.6
2025-05-16 17:56:00+00:00,2.6182,2.6246,2.6182,2.6242,8187.1
2025-05-16 17:57:00+00:00,2.6244,2.6321,2.6244,2.6299,11954.9
2025-05-16 17:58:00+00:00,2.6299,2.6299,2.6246,2.6267,8980.6
2025-05-16 17:59:00+00:00,2.6269,2.6318,2.6251,2.6314,12061.9
2025-05-16 18:00:00+00:00,2.6317,2.6317,2.6235,2.6236,8976.9
2025-05-16 18:01:00+00:00,2.6242,2.6393,2.6242,2.6366,15474.4
2025-05-16 18:02:00+00:00,2.6363,2.6407,2.6329,2.6377,12941.2
2025-05-16 18:03:00+00:00,2.6361,2.6361,2.6274,2.6304,5903.0
2025-05-16 18:04:00+00:00,2.63,2.6366,2.6287,2.6357,8278.3
2025-05-16 18:05:00+00:00,2.636,2.6371,2.6287,2.6347,10435.6
2025-05-16 18:06:00+00:00,2.6346,2.639,2.6309,2.6366,35535.7
2025-05-16 18:07:00+00:00,2.6367,2.6398,2.634,2.6357,12436.5
2025-05-16 18:08:00+00:00,2.6357,2.6385,2.6263,2.6269,28112.8
2025-05-16 18:09:00+00:00,2.6264,2.6318,2.621,2.6251,22551.5
2025-05-16 18:10:00+00:00,2.6254,2.6256,2.62,2.6221,13597.8
2025-05-16 18:11:00+00:00,2.622,2.6266,2.622,2.6259,8118.0
2025-05-16 18:12:00+00:00,2.6259,2.6298,2.6242,2.6261,4584.2
2025-05-16 18:13:00+00:00,2.6264,2.6301,2.6261,2.6286,4096.0
2025-05-16 18:14:00+00:00,2.629,2.6325,2.629,2.6311,4344.0
2025-05-16 18:15:00+00:00,2.6304,2.639,2.6271,2.636,16898.9
2025-05-16 18:16:00+00:00,2.6385,2.6391,2.6357,2.6384,3772.5
2025-05-16 18:17:00+00:00,2.6374,2.6391,2.6308,2.6363,7821.1
2025-05-16 18:18:00+00:00,2.6358,2.6358,2.63,2.6328,7529.9
2025-05-16 18:19:00+00:00,2.6314,2.6328,2.63,2.6326,5391.9
2025-05-16 18:20:00+00:00,2.6327,2.6349,2.6314,2.6349,4206.2
